Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adrian Autry,Paf Wennington Fortitudo Bologna,18,383,44,88,0.5,13,32,0.406,31,56,0.554,0.574,29,48,0.604,9,32,41,21,17,1,39,46,130
Alain Digbeu,FC Barcelona,11,208,20,62,0.323,9,39,0.231,11,23,0.478,0.395,16,20,0.8,6,22,28,8,7,2,17,32,65
Alan Tomidy,Benetton Treviso,14,210,28,57,0.491,1,4,0.25,27,53,0.509,0.5,24,36,0.667,27,30,57,5,5,5,17,28,81
Alberto Angulo,Real Madrid,14,262,42,83,0.506,3,9,0.333,39,74,0.527,0.524,7,12,0.583,3,27,30,10,20,1,16,18,94
Alberto Herreros,Real Madrid,14,333,49,113,0.434,21,58,0.362,28,55,0.509,0.527,35,46,0.761,9,29,38,17,16,1,13,25,154
Aleksandar Simic,Opel Skyliners,2,22,3,6,0.5,0,2,0,3,4,0.75,0.5,0,0,,0,2,2,1,1,0,3,1,6
Aleksander Djordjevic,Real Madrid,10,214,37,68,0.544,23,44,0.523,14,24,0.583,0.713,27,30,0.9,2,15,17,19,5,2,20,19,124
Alessandro Abbio,Kinder Bologna,19,469,47,110,0.427,24,57,0.421,23,53,0.434,0.536,37,52,0.712,10,43,53,25,22,0,27,56,155
Alessandro De Pol,Paf Wennington Fortitudo Bologna,14,172,9,37,0.243,2,16,0.125,7,21,0.333,0.27,28,38,0.737,6,14,20,4,5,0,9,20,48
Alessandro Frosini,Kinder Bologna,16,352,51,89,0.573,0,0,,51,89,0.573,0.573,14,27,0.519,29,50,79,9,18,8,26,48,116
Alexey Savrasenko,Peristeri,12,319,45,69,0.652,0,0,,45,69,0.652,0.652,23,42,0.548,38,40,78,7,8,10,27,33,113
Alexis Papadatos,Peristeri,10,104,10,30,0.333,9,20,0.45,1,10,0.1,0.483,7,8,0.875,1,11,12,6,4,0,10,17,36
Alfonso Reyes,Estudiantes,12,294,68,115,0.591,0,0,,68,115,0.591,0.591,54,66,0.818,28,48,76,5,8,1,17,40,190
Alphonso Ford,Peristeri,12,414,116,214,0.542,15,42,0.357,101,172,0.587,0.577,65,75,0.867,18,31,49,32,13,3,34,33,312
Amit Tamir,Hapoel Jerusalem,8,110,14,28,0.5,0,0,,14,28,0.5,0.5,12,17,0.706,9,8,17,2,1,1,11,14,40
Andrea Camata,Muller Verona,11,229,41,60,0.683,0,0,,41,60,0.683,0.683,7,11,0.636,24,53,77,6,15,3,11,44,89
Andrea Meneghin,Paf Wennington Fortitudo Bologna,15,365,37,100,0.37,24,65,0.369,13,35,0.371,0.49,10,14,0.714,10,26,36,20,16,3,20,47,108
Andrei Malcev,Saint Petersburg Lions,9,114,12,32,0.375,10,24,0.417,2,8,0.25,0.531,3,4,0.75,3,8,11,2,3,0,3,21,37
Andrew Betts,AEK Athens,18,481,83,155,0.535,0,0,,83,155,0.535,0.535,47,69,0.681,51,71,122,18,10,10,35,65,213
Andrius Jurkunas,BC Zalgiris,12,316,49,103,0.476,24,58,0.414,25,45,0.556,0.592,23,35,0.657,7,37,44,13,15,11,21,45,145
Anthony Avent,PAOK Thessaloniki,3,57,4,11,0.364,0,0,,4,11,0.364,0.364,0,0,,5,7,12,4,7,2,4,11,8
Anthony Bowie,Paf Wennington Fortitudo Bologna,10,270,35,70,0.5,15,33,0.455,20,37,0.541,0.607,26,30,0.867,8,28,36,10,8,2,18,20,111
Antoine Rigaudeau,Kinder Bologna,20,538,82,151,0.543,39,70,0.557,43,81,0.531,0.672,69,79,0.873,9,28,37,30,26,2,32,59,272
Ariel Eslava,Real Madrid,1,3,0,0,,0,0,,0,0,,,1,2,0.5,1,1,2,1,0,0,0,1,1
Arthur Lee,Cibona Zagreb,12,377,54,106,0.509,7,21,0.333,47,85,0.553,0.542,40,44,0.909,4,19,23,20,24,0,28,30,155
Arturas Karnisovas,FC Barcelona,10,266,39,87,0.448,12,33,0.364,27,54,0.5,0.517,49,59,0.831,18,32,50,13,8,2,15,24,139
Arturas Masiulis,BC Zalgiris,6,67,6,17,0.353,0,1,0,6,16,0.375,0.353,3,4,0.75,1,10,11,0,1,5,6,13,15
Asier Garcia,Estudiantes,10,115,11,40,0.275,2,9,0.222,9,31,0.29,0.3,6,6,1,10,14,24,2,5,4,9,12,30
Balsa Radunovic,KK Buducnost,3,13,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,0,,0,3,3,0,0,0,1,2,7
Barak Peleg,Hapoel Jerusalem,10,191,20,64,0.313,3,23,0.13,17,41,0.415,0.336,3,6,0.5,12,14,26,9,10,2,23,31,46
Beno Udrih,KK Union Olimpija,13,320,36,78,0.462,5,20,0.25,31,58,0.534,0.494,16,27,0.593,6,23,29,28,15,1,23,37,93
Bernard Thiry,Spirou Charleroi,6,58,2,5,0.4,0,0,,2,5,0.4,0.4,0,2,0,0,3,3,0,1,0,7,12,4
Blagota Sekulic,KK Buducnost,3,22,0,3,0,0,1,0,0,2,0,0,0,0,,1,2,3,0,0,0,1,5,0
Bojan Bakic,KK Buducnost,6,96,6,20,0.3,1,12,0.083,5,8,0.625,0.325,6,9,0.667,2,1,3,3,9,0,4,12,19
Bojan Brkic,Saint Petersburg Lions,6,55,3,8,0.375,1,5,0.2,2,3,0.667,0.438,3,4,0.75,0,2,2,2,1,0,2,4,10
Boris Dzidic,Cibona Zagreb,6,93,7,24,0.292,4,13,0.308,3,11,0.273,0.375,1,1,1,6,7,13,0,4,1,6,12,19
Bostjan Nachbar,Benetton Treviso,12,108,15,35,0.429,6,14,0.429,9,21,0.429,0.514,16,25,0.64,4,18,22,9,6,2,7,18,52
Branimir Longin,Cibona Zagreb,5,48,5,11,0.455,0,3,0,5,8,0.625,0.455,0,2,0,3,1,4,1,0,0,3,8,10
Byron Dinkins,Peristeri,12,355,39,103,0.379,16,58,0.276,23,45,0.511,0.456,41,49,0.837,2,42,44,43,21,0,27,25,135
Carlos Jimenez,Estudiantes,12,307,31,66,0.47,12,27,0.444,19,39,0.487,0.561,33,40,0.825,11,62,73,15,19,5,34,38,107
Carlton Myers,Paf Wennington Fortitudo Bologna,10,280,45,113,0.398,20,56,0.357,25,57,0.439,0.487,46,62,0.742,4,17,21,19,18,0,19,25,156
Casey Schmidt,Muller Verona,12,358,43,90,0.478,14,39,0.359,29,51,0.569,0.556,14,15,0.933,6,43,49,16,9,1,13,31,114
Cesar Arranz,Estudiantes,4,43,2,4,0.5,0,0,,2,4,0.5,0.5,2,2,1,2,5,7,1,3,0,4,3,6
Cesar Bravo,FC Barcelona,2,10,0,0,,0,0,,0,0,,,0,2,0,0,1,1,0,0,0,1,1,0
Chris Corchiani,TAU Ceramica,17,189,12,33,0.364,3,13,0.231,9,20,0.45,0.409,25,33,0.758,8,12,20,10,19,0,9,26,52
Claudio Coldebella,PAOK Thessaloniki,13,341,19,50,0.38,10,27,0.37,9,23,0.391,0.48,23,26,0.885,1,39,40,32,14,2,12,46,71
Claudio Pilutti,Paf Wennington Fortitudo Bologna,13,222,13,40,0.325,5,19,0.263,8,21,0.381,0.388,6,10,0.6,5,20,25,7,18,0,10,19,37
Constantin Popa,Hapoel Jerusalem,9,124,13,20,0.65,0,0,,13,20,0.65,0.65,10,13,0.769,7,16,23,1,7,8,7,22,36
Corey Albano,Muller Verona,12,294,51,92,0.554,4,17,0.235,47,75,0.627,0.576,28,46,0.609,18,45,63,15,13,3,25,44,134
