Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Jackson,CSKA Moscow,30,552,51,109,0.468,13,43,0.302,38,66,0.576,0.528,34,44,0.773,17,39,56,38,15,0,31,49,149
Acie Law,Olympiacos,30,687,85,189,0.45,19,46,0.413,66,143,0.462,0.5,54,73,0.74,12,51,63,57,11,2,42,61,243
Adam Hrycaniuk,Asseco Prokom,10,235,29,70,0.414,0,0,,29,70,0.414,0.414,32,47,0.681,20,33,53,8,1,2,19,35,90
Adas Juskevicius,BC Zalgiris,14,125,11,27,0.407,3,6,0.5,8,21,0.381,0.463,5,7,0.714,4,13,17,13,2,1,10,5,30
Albert Miralles,Alba Berlin,24,432,48,93,0.516,1,2,0.5,47,91,0.516,0.522,27,48,0.563,35,56,91,19,5,7,25,76,124
Alberto Diaz,Unicaja Malaga,1,8,0,2,0,0,1,0,0,1,0,0,0,0,,2,0,2,0,0,0,2,1,0
Aleksandar Rasic,Montepaschi Siena,16,202,24,54,0.444,16,33,0.485,8,21,0.381,0.593,6,6,1,1,10,11,13,7,0,9,17,70
Aleksey Zozulin,CSKA Moscow,5,24,0,3,0,0,1,0,0,2,0,0,0,0,,0,2,2,1,0,0,2,6,0
Alen Omic,KK Union Olimpija,10,128,15,36,0.417,0,2,0,15,34,0.441,0.417,20,32,0.625,20,18,38,1,1,3,7,16,50
Alessandro Gentile,EA7-Emporio Armani Milano,8,100,18,41,0.439,6,15,0.4,12,26,0.462,0.512,8,10,0.8,3,8,11,7,3,2,14,14,50
Alex Abrines,FC Barcelona Regal,15,170,25,56,0.446,11,34,0.324,14,22,0.636,0.545,16,16,1,4,12,16,5,6,1,8,20,77
Alex Acker,Asseco Prokom,9,203,20,61,0.328,8,21,0.381,12,40,0.3,0.393,9,11,0.818,3,21,24,6,3,1,16,23,57
Alex Tyus,Mapooro Cantu,10,199,34,59,0.576,0,1,0,34,58,0.586,0.576,13,27,0.481,14,23,37,4,2,10,8,17,81
Alexey Zhukanenko,BC Khimki,13,101,21,39,0.538,3,5,0.6,18,34,0.529,0.577,3,5,0.6,3,16,19,3,1,5,6,10,48
Ali Traore,Alba Berlin,6,101,26,45,0.578,0,0,,26,45,0.578,0.578,4,6,0.667,5,18,23,3,0,2,9,9,56
Andrea Casella,Mapooro Cantu,1,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Andres Nocioni,Caja Laboral,28,658,102,234,0.436,32,95,0.337,70,139,0.504,0.504,69,90,0.767,27,86,113,21,14,16,43,84,305
Andrew Ogilvy,Brose Baskets,15,134,19,42,0.452,0,0,,19,42,0.452,0.452,20,32,0.625,9,17,26,3,5,10,11,15,58
Andrey Vorontsevich,CSKA Moscow,16,192,23,42,0.548,5,12,0.417,18,30,0.6,0.607,13,14,0.929,15,42,57,7,7,2,8,17,64
Andy Panko,Unicaja Malaga,13,304,22,80,0.275,5,24,0.208,17,56,0.304,0.306,12,18,0.667,14,27,41,10,4,1,9,36,61
Andy Panko,Panathinaikos,9,220,35,74,0.473,4,16,0.25,31,58,0.534,0.5,9,16,0.563,12,31,43,15,2,2,11,24,83
Ante Tomic,FC Barcelona Regal,30,720,150,235,0.638,0,1,0,150,234,0.641,0.638,51,84,0.607,50,145,195,52,21,33,32,78,351
Anton Gavel,Brose Baskets,23,727,97,220,0.441,40,109,0.367,57,111,0.514,0.532,50,63,0.794,10,38,48,68,16,2,40,43,284
Anton Ponkrashov,CSKA Moscow,17,185,13,44,0.295,2,13,0.154,11,31,0.355,0.318,5,6,0.833,8,18,26,27,6,2,9,22,33
Antonis Fotsis,EA7-Emporio Armani Milano,10,254,27,63,0.429,17,41,0.415,10,22,0.455,0.563,4,4,1,10,32,42,10,6,1,8,23,75
Aron Baynes,KK Union Olimpija,10,262,54,92,0.587,0,0,,54,92,0.587,0.587,30,43,0.698,39,59,98,5,5,5,25,30,138
Arturas Jomantas,Lietuvos rytas,7,84,3,6,0.5,0,0,,3,6,0.5,0.5,2,6,0.333,4,7,11,4,3,0,3,15,8
Augusto Lima,Unicaja Malaga,22,227,27,60,0.45,3,11,0.273,24,49,0.49,0.475,11,22,0.5,15,41,56,2,3,5,17,33,68
Awudu Abass,Mapooro Cantu,2,37,3,12,0.25,1,5,0.2,2,7,0.286,0.292,0,0,,6,6,12,0,2,0,0,2,7
Baris Ermis,Fenerbahçe,21,246,25,48,0.521,4,16,0.25,21,32,0.656,0.563,4,11,0.364,6,15,21,30,11,2,22,39,58
Baris Hersek,Beşiktaş,10,66,7,25,0.28,2,10,0.2,5,15,0.333,0.32,2,2,1,2,8,10,4,3,0,6,9,18
Benjamin Eze,Montepaschi Siena,17,287,40,82,0.488,1,1,1,39,81,0.481,0.494,15,25,0.6,32,42,74,9,6,13,17,38,96
Benjamin Ortner,Montepaschi Siena,16,171,34,56,0.607,0,0,,34,56,0.607,0.607,8,9,0.889,14,18,32,13,5,4,8,30,76
Benjamin Pavel Dudu,BC Khimki,1,3,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,0,0,1
Birkan Batuk,Anadolu Efes,2,34,2,8,0.25,1,5,0.2,1,3,0.333,0.313,0,0,,0,4,4,0,1,0,1,8,5
Blake Schilb,Elan Chalon,10,325,53,118,0.449,15,44,0.341,38,74,0.514,0.513,34,40,0.85,9,37,46,40,13,3,25,21,155
Bo McCalebb,Fenerbahçe,23,635,113,235,0.481,13,51,0.255,100,184,0.543,0.509,61,72,0.847,25,38,63,55,44,0,36,41,300
Bobby Brown,Montepaschi Siena,24,782,138,336,0.411,55,160,0.344,83,176,0.472,0.493,121,136,0.89,5,36,41,128,11,2,63,49,452
Bogdan Bogdanovic,Partizan,6,105,10,33,0.303,2,10,0.2,8,23,0.348,0.333,8,10,0.8,5,6,11,6,4,0,4,10,30
Bojan Bogdanovic,Fenerbahçe,21,592,111,227,0.489,34,84,0.405,77,143,0.538,0.564,78,93,0.839,13,32,45,25,12,11,21,39,334
Bostjan Nachbar,Brose Baskets,23,614,122,283,0.431,34,92,0.37,88,191,0.461,0.491,92,115,0.8,10,69,79,25,12,9,36,64,370
Bracey Wright,Cedevita Zagreb,10,316,54,116,0.466,14,43,0.326,40,73,0.548,0.526,17,24,0.708,5,20,25,24,8,2,21,26,139
Brad Oleson,Caja Laboral,15,344,42,87,0.483,23,46,0.5,19,41,0.463,0.615,22,28,0.786,4,16,20,22,10,4,13,46,129
Branislav Djekic,Partizan,2,6,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0
Brian Randle,Alba Berlin,2,28,2,8,0.25,0,0,,2,8,0.25,0.25,2,4,0.5,2,6,8,0,0,1,2,4,6
Brion Rush,Elan Chalon,8,231,38,88,0.432,24,52,0.462,14,36,0.389,0.568,11,15,0.733,7,18,25,9,9,1,19,18,111
Carlos Cabezas,Caja Laboral,14,183,21,32,0.656,6,12,0.5,15,20,0.75,0.75,21,22,0.955,5,16,21,10,3,0,10,9,69
Carlos Jimenez,Unicaja Malaga,7,64,2,7,0.286,1,5,0.2,1,2,0.5,0.357,3,6,0.5,1,9,10,2,1,0,2,6,8
Carlos Suarez,Real Madrid,29,493,37,96,0.385,14,50,0.28,23,46,0.5,0.458,16,27,0.593,23,65,88,37,8,2,15,36,104
Casey Jacobsen,Brose Baskets,24,732,67,157,0.427,36,91,0.396,31,66,0.47,0.541,52,61,0.852,16,52,68,57,7,2,39,53,222
Cedrick Banks,Elan Chalon,2,59,8,22,0.364,3,15,0.2,5,7,0.714,0.432,1,2,0.5,2,4,6,4,4,0,4,3,20
Cemal Nalga,Beşiktaş,11,122,12,24,0.5,0,1,0,12,23,0.522,0.5,5,17,0.294,5,24,29,3,1,2,11,18,29
Cevher Ozer,Beşiktaş,22,310,34,97,0.351,19,63,0.302,15,34,0.441,0.448,16,20,0.8,10,45,55,10,3,0,12,38,103
Charis Giannopoulos,Panathinaikos,6,23,5,7,0.714,3,4,0.75,2,3,0.667,0.929,1,2,0.5,3,2,5,0,1,0,1,4,14
Clint Capela,Elan Chalon,7,56,7,11,0.636,0,0,,7,11,0.636,0.636,2,2,1,6,15,21,2,3,5,2,9,16
Curtis Jerrells,Beşiktaş,17,525,88,197,0.447,30,78,0.385,58,119,0.487,0.523,35,42,0.833,8,37,45,50,19,1,38,26,241
Damir Markota,Beşiktaş,24,583,72,167,0.431,22,69,0.319,50,98,0.51,0.497,42,51,0.824,34,89,123,33,16,4,34,33,208
Daniel Ewing,Beşiktaş,11,270,38,87,0.437,13,36,0.361,25,51,0.49,0.511,19,25,0.76,11,20,31,17,9,2,14,23,108
Daniel Hackett,Montepaschi Siena,22,486,53,128,0.414,14,45,0.311,39,83,0.47,0.469,39,54,0.722,9,41,50,67,23,1,36,58,159
Daniel Schmidt,Brose Baskets,12,96,5,17,0.294,1,7,0.143,4,10,0.4,0.324,1,2,0.5,1,5,6,14,2,0,7,20,12
Danilo Andusic,Partizan,7,55,6,23,0.261,2,14,0.143,4,9,0.444,0.304,2,2,1,1,3,4,5,2,0,4,3,16
Darjus Lavrinovic,BC Zalgiris,21,414,72,141,0.511,14,42,0.333,58,99,0.586,0.56,29,41,0.707,33,46,79,22,14,9,31,53,187
Darko Planinic,Maccabi Tel Aviv,16,163,26,47,0.553,0,0,,26,47,0.553,0.553,19,36,0.528,16,14,30,1,5,4,17,31,71
DaShaun Wood,Alba Berlin,23,561,82,175,0.469,32,74,0.432,50,101,0.495,0.56,30,38,0.789,6,30,36,58,14,2,41,47,226
David Andersen,Fenerbahçe,23,465,66,154,0.429,13,38,0.342,53,116,0.457,0.471,24,30,0.8,15,78,93,10,10,3,34,51,169
David Chiotti,EA7-Emporio Armani Milano,8,47,4,9,0.444,0,0,,4,9,0.444,0.444,3,9,0.333,5,7,12,1,2,2,3,12,11
David Jelinek,Caja Laboral,6,53,5,14,0.357,3,9,0.333,2,5,0.4,0.464,1,1,1,1,1,2,5,4,0,2,6,14
David Logan,Maccabi Tel Aviv,27,672,107,217,0.493,56,129,0.434,51,88,0.58,0.622,16,25,0.64,7,55,62,32,30,7,36,34,286
David Moss,Montepaschi Siena,24,742,86,205,0.42,42,106,0.396,44,99,0.444,0.522,21,24,0.875,21,75,96,36,17,1,35,68,235
Davis Bertans,Partizan,10,200,20,52,0.385,16,34,0.471,4,18,0.222,0.538,10,16,0.625,5,18,23,7,11,2,12,30,66
Deyan Ivanov,Lietuvos rytas,10,199,25,54,0.463,2,10,0.2,23,44,0.523,0.481,16,18,0.889,20,26,46,7,7,2,9,13,68
Deividas Dulkys,Lietuvos rytas,9,91,7,24,0.292,2,11,0.182,5,13,0.385,0.333,5,6,0.833,0,7,7,6,4,0,5,17,21
Dejan Musli,Partizan,10,216,39,74,0.527,0,0,,39,74,0.527,0.527,17,22,0.773,17,32,49,10,8,4,25,21,95
Deon Thompson,Alba Berlin,23,612,109,208,0.524,1,4,0.25,108,204,0.529,0.526,57,72,0.792,54,71,125,19,17,15,36,60,276
Derrick Byars,Alba Berlin,18,369,46,100,0.46,20,43,0.465,26,57,0.456,0.56,8,13,0.615,14,39,53,12,12,0,23,36,120
Derwin Kitchen,Panathinaikos,9,106,11,21,0.524,1,6,0.167,10,15,0.667,0.548,10,16,0.625,4,21,25,5,3,0,12,13,33
Devin Smith,Maccabi Tel Aviv,25,713,109,250,0.436,43,114,0.377,66,136,0.485,0.522,27,32,0.844,24,76,100,40,18,18,29,67,288
Dimitri Sokolov,CSKA Moscow,8,46,3,4,0.75,0,0,,3,4,0.75,0.75,1,4,0.25,3,3,6,0,1,4,7,10,7
Dimitrios Katsivelis,Olympiacos,10,67,2,6,0.333,2,4,0.5,0,2,0,0.5,1,2,0.5,1,6,7,4,1,0,4,12,7
