Player,G,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,TOV%
A.J. Slaughter,23,524,80,206,40,109,0.37,40,97,0.41,0.49,24,30,0.8,6,40,46,39,10,1,27,56,224,0.51,10.97
AJ Guyton,14,252,31,80,14,42,0.33,17,38,0.45,0.48,11,17,0.6,5,16,21,13,11,0,11,25,87,0.5,11.17
Aaron Doornekamp,58,1122,101,265,65,179,0.36,36,86,0.42,0.5,48,62,0.75,40,140,180,72,35,11,30,119,315,0.54,9.31
Aaron Jackson,178,3501,406,825,110,300,0.37,296,525,0.56,0.56,173,227,0.76,77,248,325,457,117,5,211,298,1095,0.59,18.58
Aaron Miles,30,940,114,266,24,61,0.39,90,205,0.44,0.47,53,78,0.68,18,82,100,107,48,4,64,66,305,0.51,17.57
Aaron Mitchell,11,93,14,32,5,12,0.42,9,20,0.45,0.52,7,11,0.65,3,4,7,9,6,0,6,15,40,0.54,14.01
Aaron White,85,1807,226,438,37,106,0.35,189,332,0.57,0.56,144,186,0.79,80,241,321,63,36,21,68,165,633,0.61,11.57
Aboubakar Zaki,10,87,5,12,0,1,0.0,5,11,0.45,0.42,3,9,0.33,6,14,20,2,1,5,4,13,13,0.41,20.04
Achille Polonara,27,338,29,89,9,40,0.22,20,49,0.41,0.38,18,28,0.64,31,44,75,6,15,11,7,29,85,0.42,6.46
Acie Law,60,1366,159,375,29,88,0.33,130,287,0.45,0.46,107,146,0.73,15,94,109,134,40,3,99,113,454,0.52,18.39
Adam Chubb,16,282,44,75,1,1,1.0,43,74,0.58,0.59,32,44,0.73,18,48,66,2,6,4,19,57,121,0.64,16.76
Adam Hanga,156,3740,465,1028,126,409,0.31,339,619,0.55,0.51,222,321,0.68,134,469,603,338,160,94,193,365,1278,0.55,14.17
Adam Hess,14,370,49,109,21,54,0.39,28,55,0.51,0.55,28,38,0.74,23,30,53,18,9,2,15,43,147,0.58,10.66
Adam Hrycaniuk,44,509,43,95,0,5,0.0,43,90,0.48,0.45,24,26,0.92,48,94,142,10,18,9,34,99,110,0.52,24.21
Adam Lapeta,14,230,21,38,0,2,0.0,21,36,0.58,0.55,13,20,0.57,25,23,48,3,4,2,11,34,55,0.59,19.03
Adam Waczynski,27,510,96,192,51,103,0.5,45,89,0.51,0.63,29,35,0.83,25,37,62,30,20,1,26,47,272,0.66,11.14
Adam Wojcik,95,2136,369,751,59,175,0.34,310,576,0.54,0.53,233,327,0.71,125,201,326,71,64,64,167,243,1030,0.58,15.73
Adas Juskevicius,23,205,18,44,4,12,0.33,14,32,0.44,0.45,8,11,0.73,7,18,25,15,4,1,17,11,48,0.49,25.82
Ademola Okulaja,52,1411,221,467,45,133,0.34,176,334,0.53,0.52,95,169,0.55,119,233,352,79,67,16,84,99,582,0.54,13.43
Adreian Payne,25,356,68,133,17,48,0.35,51,85,0.6,0.58,41,57,0.7,32,53,85,12,10,9,24,52,194,0.61,13.18
Adrian Autry,18,383,44,88,13,32,0.41,31,56,0.55,0.57,29,48,0.6,9,32,41,21,17,1,39,46,130,0.6,26.33
Adrien Moerman,142,3394,497,1101,164,476,0.34,333,625,0.53,0.53,114,146,0.77,168,579,747,143,124,37,138,304,1272,0.55,10.59
Ahmet Tuncer,9,61,9,20,6,13,0.46,3,7,0.43,0.6,2,3,0.67,1,3,4,14,4,0,4,9,26,0.61,15.8
Ainars Bagatskis,29,507,60,149,46,111,0.41,14,38,0.37,0.56,42,47,0.89,10,36,46,16,13,0,19,61,208,0.61,10.07
Ajdin Penava,4,13,0,5,0,4,0.0,0,1,0.0,0.0,2,2,1.0,1,3,4,0,0,0,0,0,2,0.17,0.0
Akeem Vargas,24,324,14,52,11,34,0.32,3,18,0.17,0.38,4,8,0.5,2,28,30,13,13,1,9,65,43,0.39,13.95
Akin Akingbala,8,237,41,72,0,1,0.0,41,71,0.58,0.57,14,32,0.44,22,33,55,4,10,8,15,15,96,0.56,14.84
Alain Digbeu,49,978,106,262,53,159,0.33,53,103,0.51,0.51,80,102,0.79,32,94,126,53,49,20,64,113,345,0.56,17.26
Alain Koffi,10,168,18,50,0,1,0.0,18,49,0.37,0.36,9,16,0.56,13,14,27,7,6,8,13,18,45,0.39,18.56
Alan Anderson,47,1323,194,462,54,148,0.36,140,314,0.45,0.48,168,202,0.85,41,127,168,86,64,13,120,144,610,0.55,17.89
Alan Gregov,4,36,1,8,0,5,0.0,1,3,0.33,0.12,2,2,1.0,0,2,2,4,0,0,4,8,4,0.23,31.06
Alan Tomidy,21,264,40,72,2,5,0.4,38,67,0.57,0.57,25,38,0.58,30,34,64,6,6,6,20,34,107,0.6,18.4
Albert Miralles,24,432,48,93,1,2,0.5,47,91,0.52,0.52,27,48,0.56,35,56,91,19,5,7,25,76,124,0.54,17.97
Albert Oliver,28,409,36,111,16,48,0.33,20,63,0.32,0.4,26,29,0.9,14,23,37,93,9,1,38,43,114,0.46,23.49
Alberto Abalde,48,977,135,293,43,107,0.4,92,186,0.49,0.53,56,73,0.8,44,100,144,80,19,0,51,73,369,0.57,13.56
Alberto Angulo,32,590,95,179,11,29,0.38,84,150,0.56,0.56,30,39,0.72,10,54,64,29,37,1,52,45,231,0.59,20.95
Alberto Corbacho,21,223,26,65,17,54,0.31,9,11,0.82,0.53,2,2,1.0,6,17,23,8,3,1,7,20,71,0.54,9.6
Alberto Diaz,54,910,57,168,32,108,0.3,25,60,0.42,0.43,19,25,0.75,16,49,65,102,40,0,45,135,165,0.46,20.09
Alberto Herreros,62,1446,204,448,110,268,0.41,94,180,0.52,0.58,141,173,0.81,41,109,150,73,62,5,61,110,659,0.63,10.43
Aldo Curti,10,223,20,46,7,19,0.37,13,27,0.48,0.51,16,21,0.76,1,7,8,36,13,0,23,33,63,0.57,29.4
Alec Peters,63,956,101,221,54,127,0.43,47,94,0.5,0.58,47,54,0.87,36,117,153,40,26,5,32,126,303,0.62,11.56
Alejandro Montecchia,22,458,52,120,30,84,0.36,22,36,0.61,0.56,30,34,0.82,5,47,52,53,19,0,31,61,164,0.61,18.68
Aleks Maric,18,459,85,140,0,2,0.0,85,138,0.62,0.61,92,142,0.65,61,90,151,22,22,11,46,55,262,0.65,18.51
Aleksandar Capin,32,471,49,134,17,64,0.27,32,70,0.46,0.43,27,35,0.76,16,30,46,55,14,0,39,39,142,0.48,20.7
Aleksandar Glintic,11,102,10,26,4,9,0.44,6,17,0.35,0.46,0,2,0.0,4,11,15,2,4,2,10,19,24,0.45,27.11
Aleksandar Mitrovic,19,51,3,5,2,2,1.0,1,3,0.33,0.8,6,10,0.6,1,2,3,4,0,0,5,12,14,0.74,34.72
Aleksandar Rasic,57,1001,109,307,69,198,0.35,40,109,0.37,0.47,76,86,0.91,16,51,67,104,30,1,78,75,363,0.53,18.45
Aleksandar Smiljanic,23,416,59,134,14,60,0.23,45,74,0.61,0.49,55,66,0.84,10,20,30,26,21,1,37,49,187,0.57,18.5
Aleksandar Ugrinoski,2,16,1,3,1,1,1.0,0,2,0.0,0.5,0,2,0.0,1,0,1,1,1,0,3,1,3,0.39,43.6
Aleksandar Vezenkov,119,1545,226,431,84,206,0.41,142,225,0.63,0.62,83,98,0.88,74,197,271,73,46,14,42,137,619,0.65,8.14
Aleksander Djordjevic,27,622,115,213,55,119,0.46,60,94,0.64,0.67,88,98,0.9,7,37,44,63,16,2,57,56,373,0.73,18.2
Aleksander Nadjfeji,26,562,94,180,1,12,0.08,93,168,0.55,0.52,39,68,0.57,24,54,78,48,19,5,58,71,228,0.54,21.65
Aleksej Nesovic,10,169,18,45,9,22,0.41,9,23,0.39,0.5,6,8,0.75,5,17,22,13,6,0,23,25,51,0.53,32.16
Aleksej Nikolic,51,523,38,100,17,53,0.32,21,47,0.45,0.46,27,29,0.96,5,30,35,72,11,1,30,81,120,0.53,21.01
Aleksej Pokusevski,2,6,0,3,0,1,0.0,0,2,0.0,0.0,1,2,0.5,1,1,2,1,1,0,1,1,1,0.13,20.49
Aleksey Zozulin,6,32,4,5,3,4,0.75,1,1,1.0,1.1,1,2,0.5,3,4,7,1,0,1,0,4,12,1.02,0.0
Alen Omic,39,619,90,169,1,6,0.17,89,163,0.55,0.54,37,64,0.47,77,83,160,24,11,11,35,68,218,0.55,15.08
Alessandro Abbio,41,969,101,225,49,118,0.42,52,107,0.49,0.56,77,107,0.73,20,72,92,47,42,4,56,111,328,0.6,17.07
Alessandro Cittadini,14,279,29,45,1,2,0.5,28,43,0.65,0.66,18,28,0.64,26,40,66,6,15,4,20,50,77,0.67,25.87
Alessandro De Pol,14,172,9,37,2,16,0.12,7,21,0.33,0.27,28,38,0.74,6,14,20,4,5,0,9,20,48,0.45,14.35
Alessandro Gentile,80,1800,311,729,61,199,0.31,250,530,0.47,0.47,171,248,0.67,59,145,204,166,53,13,144,186,854,0.51,14.66
Alessandro Piazza,2,4,1,2,0,1,0.0,1,1,1.0,0.5,1,1,1.0,0,1,1,1,0,0,1,0,3,0.61,29.07
Alessandro Tonolli,37,694,40,102,24,64,0.38,16,38,0.42,0.51,29,36,0.86,32,74,106,29,41,19,29,133,133,0.56,19.75
Alex Abrines,122,1973,278,618,143,379,0.38,135,239,0.56,0.57,116,141,0.83,56,145,201,89,62,16,67,212,815,0.6,8.97
Alex Acker,57,1411,189,443,36,117,0.31,153,326,0.47,0.47,114,138,0.72,48,152,200,80,64,15,115,114,528,0.52,18.59
Alex Garcia,23,428,38,91,14,37,0.38,24,54,0.44,0.49,25,40,0.62,8,40,48,32,19,1,21,63,115,0.53,16.2
Alex King,65,805,63,168,31,105,0.3,32,63,0.51,0.47,7,24,0.16,35,51,86,33,20,3,36,90,164,0.46,16.78
Alex Kirk,16,160,22,41,0,1,0.0,22,40,0.55,0.54,10,15,0.67,20,16,36,5,1,14,9,30,54,0.57,15.9
Alex Mumbru,69,1657,228,528,82,250,0.33,146,278,0.53,0.51,135,181,0.75,60,200,260,139,53,7,128,169,673,0.55,17.4
Alex Perez,7,75,8,20,3,6,0.5,5,14,0.36,0.48,3,3,1.0,3,3,6,13,3,0,3,13,22,0.52,12.34
Alex Renfroe,73,1616,185,413,70,171,0.41,115,242,0.48,0.53,94,120,0.83,64,160,224,299,74,6,165,157,534,0.57,26.16
Alex Righetti,29,576,82,177,41,99,0.41,41,78,0.53,0.58,50,55,0.94,17,44,61,8,23,2,24,83,255,0.63,10.66
Alex Scales,27,719,123,290,55,152,0.36,68,138,0.49,0.52,50,77,0.64,15,64,79,34,38,3,46,58,351,0.54,12.44
Alex Tyus,91,1580,315,487,0,4,0.0,315,483,0.65,0.65,100,197,0.5,149,253,402,30,37,110,81,140,730,0.64,12.37
Alexander Lokhmanchuk,13,289,42,117,14,56,0.25,28,61,0.46,0.42,31,46,0.67,28,36,64,6,23,8,21,57,118,0.43,13.27
Alexander Miloserdov,5,43,2,14,1,9,0.11,1,5,0.2,0.18,2,2,1.0,1,0,1,1,1,0,3,9,7,0.24,16.78
Alexandr Bashminov,45,600,96,171,5,12,0.42,91,159,0.57,0.58,52,75,0.64,61,94,155,19,17,35,29,99,249,0.61,12.45
Alexandre Petrenko,20,368,68,128,17,40,0.42,51,88,0.58,0.6,26,43,0.6,25,46,71,16,20,1,17,56,179,0.61,10.37
Alexandros Nikolaidis,3,23,1,4,0,2,0.0,1,2,0.5,0.25,4,4,1.0,0,5,5,0,5,0,4,2,6,0.52,40.98
Alexey Pegushin,11,121,16,35,9,22,0.41,7,13,0.54,0.59,3,6,0.5,2,5,7,11,1,1,5,23,44,0.58,11.73
Alexey Savrasenko,23,315,48,85,0,1,0.0,48,84,0.57,0.56,9,24,0.38,46,47,93,9,4,22,16,42,105,0.55,14.34
Alexey Shved,134,3565,726,1766,345,980,0.35,381,786,0.48,0.51,483,588,0.8,51,280,331,599,137,35,353,258,2280,0.56,14.85
Alexey Zhukanenko,27,163,26,52,4,8,0.5,22,44,0.5,0.54,8,15,0.55,7,27,34,5,1,11,13,20,64,0.55,18.16
Alexis Ajinca,9,228,63,114,0,1,0.0,63,113,0.56,0.55,28,37,0.76,15,34,49,17,7,8,20,32,154,0.59,13.31
Alexis Papadatos,21,266,34,68,21,40,0.52,13,28,0.46,0.65,10,12,0.81,7,25,32,18,11,0,24,43,99,0.68,24.67
Alfonso Sanchez,9,63,2,15,1,9,0.11,1,6,0.17,0.17,3,6,0.5,1,1,2,2,2,0,4,13,8,0.23,18.48
Ali Bouziane,7,55,5,18,2,7,0.29,3,11,0.27,0.33,2,2,1.0,2,1,3,8,2,1,8,9,14,0.37,29.76
Ali Traore,15,288,56,100,0,1,0.0,56,99,0.57,0.56,30,41,0.73,20,37,57,5,8,9,21,31,142,0.6,15.1
Allan Ray,21,512,56,178,26,82,0.32,30,96,0.31,0.39,43,51,0.81,12,42,54,48,21,1,47,63,181,0.45,18.99
Alonzo Gee,3,86,12,28,4,7,0.57,8,21,0.38,0.5,5,6,0.83,0,19,19,3,0,1,6,8,33,0.54,16.38
Aloysius Anagonye,18,340,50,101,1,4,0.25,49,97,0.51,0.5,21,29,0.72,40,47,87,9,13,11,20,58,122,0.54,14.95
Alper Yilmaz,72,1179,57,166,37,127,0.29,20,39,0.51,0.45,19,28,0.65,27,104,131,91,78,10,44,148,170,0.48,19.79
Alphonso Ford,54,1826,438,869,87,220,0.4,351,649,0.54,0.55,237,294,0.81,71,140,211,146,81,21,161,155,1200,0.6,13.89
Alvin Sims,3,36,2,10,1,4,0.25,1,6,0.17,0.25,4,5,0.8,1,2,3,0,3,0,5,7,9,0.37,29.07
Alvin Young,8,204,40,83,9,19,0.47,31,64,0.48,0.54,19,25,0.76,7,20,27,11,9,0,16,16,108,0.57,14.55
Amara Sy,13,207,22,53,1,7,0.14,21,46,0.46,0.42,7,13,0.54,12,16,28,8,7,8,12,28,52,0.44,16.97
Amare Stoudemire,6,33,2,5,0,1,0.0,2,4,0.5,0.4,4,4,1.0,1,4,5,1,1,0,1,5,8,0.59,12.89
Amath M'Baye,30,530,62,134,25,66,0.38,37,68,0.54,0.56,34,43,0.79,14,47,61,28,11,3,21,72,183,0.6,12.07
Amedeo Della Valle,33,325,44,92,20,44,0.45,24,48,0.5,0.59,40,47,0.92,13,15,28,13,11,3,7,39,148,0.66,5.85
Amine Noua,25,352,50,102,15,46,0.33,35,56,0.62,0.56,10,16,0.62,14,37,51,8,8,7,21,52,125,0.57,16.15
Amit Tamir,9,106,12,41,3,20,0.15,9,21,0.43,0.33,5,6,0.83,11,18,29,3,4,3,9,12,32,0.37,17.1
Anderson Varejao,49,808,106,208,9,34,0.26,97,174,0.56,0.53,51,100,0.5,72,125,197,16,40,29,58,120,272,0.54,18.71
Andrae Patterson,13,250,40,74,6,17,0.35,34,57,0.6,0.58,20,32,0.62,15,34,49,8,9,9,20,24,106,0.6,18.5
Andre Barrett,14,172,18,46,6,23,0.26,12,23,0.52,0.46,9,10,0.9,5,11,16,24,5,0,13,7,51,0.51,20.5
Andre Owens,28,706,87,207,17,55,0.31,70,152,0.46,0.46,40,59,0.69,11,72,83,75,32,4,44,63,231,0.5,15.89
Andrea Bargnani,53,796,139,284,37,93,0.4,102,191,0.53,0.55,77,108,0.65,40,98,138,17,29,28,60,121,392,0.59,15.32
Andrea Cinciarini,98,1572,151,345,34,98,0.35,117,247,0.47,0.49,77,113,0.57,46,153,199,182,48,4,93,186,413,0.52,19.07
Andrea Crosariol,16,355,40,75,0,1,0.0,40,74,0.54,0.53,19,30,0.63,26,54,80,14,13,15,31,43,99,0.56,26.01
Andrea Meneghin,34,888,102,260,56,155,0.36,46,105,0.44,0.5,47,61,0.75,17,59,76,68,50,6,54,121,307,0.54,15.84
Andrea Michelori,7,96,5,16,1,2,0.5,4,14,0.29,0.34,13,18,0.72,9,16,25,2,3,0,10,15,24,0.5,29.48
Andrea Pecile,26,439,56,136,19,57,0.33,37,79,0.47,0.48,46,71,0.64,11,26,37,29,15,0,36,56,177,0.53,17.71
Andrei Fetisov,8,217,29,67,15,34,0.44,14,33,0.42,0.54,26,31,0.84,8,36,44,14,11,15,16,28,99,0.61,16.56
Andrei Ivanov,4,32,1,9,0,4,0.0,1,5,0.2,0.11,4,4,1.0,0,3,3,1,0,0,3,4,6,0.28,21.8
Andrei Kirilenko,28,720,101,191,26,61,0.43,75,130,0.58,0.6,105,143,0.72,44,141,185,53,38,46,34,54,333,0.66,11.81
Andrei Malcev,9,114,12,32,10,24,0.42,2,8,0.25,0.53,3,4,0.75,3,8,11,2,3,0,3,21,37,0.55,8.16
Andrej Stimac,44,729,70,175,38,109,0.35,32,66,0.48,0.51,28,38,0.8,33,69,102,26,22,3,31,75,206,0.54,13.92
Andres Miso,12,196,28,59,6,20,0.3,22,39,0.56,0.53,14,24,0.58,6,9,15,12,10,1,13,19,76,0.55,15.75
Andres Nocioni,172,3532,607,1317,193,528,0.37,414,789,0.52,0.53,330,434,0.74,138,613,751,146,99,110,273,421,1737,0.58,15.33
Andres Rodriguez,14,442,29,69,10,31,0.32,19,38,0.5,0.49,17,22,0.77,9,28,37,46,24,0,25,47,85,0.54,24.11
Andrew Albicy,27,580,58,157,37,105,0.35,21,52,0.4,0.49,25,44,0.57,12,32,44,90,24,1,42,42,178,0.5,19.23
Andrew Goudelock,74,2094,429,906,160,389,0.41,269,517,0.52,0.56,128,148,0.86,25,153,178,162,44,8,106,133,1146,0.59,9.84
Andrew Harrison,4,89,11,32,7,15,0.47,4,17,0.24,0.45,6,9,0.67,0,8,8,10,2,2,3,10,35,0.49,7.7
Andrew Sullivan,17,260,29,64,4,15,0.27,25,49,0.51,0.48,11,21,0.52,7,21,28,5,10,5,13,22,73,0.5,15.07
Andrew Wisniewski,42,1069,115,245,38,97,0.39,77,148,0.52,0.55,58,79,0.75,21,64,85,92,42,2,51,115,326,0.58,15.42
Andrey Sheyko,7,67,3,9,0,2,0.0,3,7,0.43,0.33,1,3,0.33,5,3,8,5,2,1,11,9,7,0.34,51.59
Andrey Vorontsevich,268,4574,553,1200,256,639,0.4,297,561,0.53,0.57,166,227,0.76,239,604,843,261,121,108,154,450,1528,0.59,10.59
Andrey Zubkov,103,1231,154,342,48,142,0.34,106,200,0.53,0.52,59,85,0.69,54,136,190,66,34,10,61,166,415,0.55,13.85
Andrija Ciric,15,237,31,70,7,31,0.23,24,39,0.62,0.49,14,17,0.82,13,15,28,7,8,0,18,23,83,0.54,18.85
Andrija Zizic,92,1999,341,621,3,8,0.38,338,613,0.55,0.55,222,308,0.7,161,264,425,53,40,7,146,300,907,0.6,16.18
Andrius Giedraitis,28,747,114,204,34,63,0.54,80,141,0.57,0.64,113,132,0.85,26,56,82,48,29,3,35,68,375,0.72,11.78
Andrius Jurkunas,17,425,61,121,32,72,0.44,29,49,0.59,0.64,24,39,0.45,10,43,53,17,17,14,32,64,178,0.64,18.81
Andrius Slezas,24,233,20,67,12,47,0.26,8,20,0.4,0.39,15,21,0.84,15,24,39,9,11,3,12,34,67,0.44,13.6
Andrzej Adamek,7,81,2,15,1,10,0.1,1,5,0.2,0.17,0,2,0.0,0,3,3,8,7,0,6,9,5,0.16,27.42
Andy Panko,22,524,57,154,9,40,0.22,48,114,0.42,0.4,21,34,0.62,26,58,84,25,6,3,20,60,144,0.43,10.58
Andzejs Pasecniks,22,371,64,132,1,7,0.14,63,125,0.5,0.49,29,52,0.56,41,38,79,9,11,9,14,55,158,0.51,8.29
Angelo Caloiaro,48,1121,109,231,34,105,0.32,75,126,0.6,0.55,69,86,0.8,78,118,196,66,49,3,31,111,321,0.6,10.34
Angelo Gigli,39,759,86,172,19,54,0.35,67,118,0.57,0.56,37,61,0.72,60,96,156,19,40,22,58,92,228,0.57,22.58
Ansu Sesay,42,1186,141,369,58,160,0.36,83,209,0.4,0.46,62,79,0.79,50,147,197,45,45,33,57,123,402,0.5,12.37
Antanas Kavaliauskas,64,801,140,224,0,2,0.0,140,222,0.63,0.62,77,97,0.8,75,93,168,40,15,12,64,169,357,0.67,19.35
Ante Delas,8,100,10,28,7,18,0.39,3,10,0.3,0.48,7,7,1.0,1,4,5,6,5,0,3,12,34,0.55,8.8
Ante Grgourevic,2,49,4,8,2,3,0.67,2,5,0.4,0.62,2,2,1.0,2,7,9,0,0,0,1,6,12,0.68,10.12
Ante Masic,9,122,10,25,8,23,0.35,2,2,1.0,0.56,2,2,1.0,2,16,18,4,2,0,4,16,30,0.58,13.39
Ante Tomic,144,2982,574,955,0,5,0.0,574,950,0.6,0.6,230,388,0.6,263,537,800,246,70,85,203,340,1378,0.61,15.28
Anthony Bowie,27,736,82,184,32,81,0.4,50,103,0.49,0.53,57,73,0.79,20,68,88,56,21,4,53,60,253,0.59,19.69
Anthony Dobbins,10,245,17,54,4,22,0.18,13,32,0.41,0.35,4,9,0.44,10,26,36,15,18,5,11,10,42,0.36,15.95
Anthony Gill,70,1648,269,470,63,155,0.41,206,315,0.65,0.64,132,171,0.79,104,198,302,82,34,38,79,181,733,0.67,12.66
Anthony Giovacchini,9,149,6,21,0,7,0.0,6,14,0.43,0.29,8,9,0.89,3,11,14,9,7,0,13,24,20,0.4,34.25
Anthony Goldwire,11,257,28,74,9,31,0.29,19,43,0.44,0.44,11,20,0.55,7,12,19,16,14,0,17,31,76,0.46,17.03
Anthony Parker,90,3152,510,966,83,202,0.41,427,764,0.56,0.57,364,445,0.81,64,460,524,287,147,33,172,223,1467,0.63,12.9
Anthony Randolph,130,2880,548,1151,174,450,0.39,374,701,0.53,0.55,256,339,0.74,148,467,615,128,89,79,145,208,1526,0.59,10.03
Antoine Diot,55,1050,86,234,42,128,0.33,44,106,0.42,0.46,45,59,0.71,15,68,83,144,46,4,99,110,259,0.5,27.58
Antoine Rigaudeau,70,1923,277,540,105,238,0.44,172,302,0.57,0.61,185,213,0.86,26,117,143,128,98,7,118,213,844,0.67,15.7
Anton Gavel,70,1994,220,526,89,244,0.36,131,282,0.46,0.5,128,161,0.8,32,112,144,202,50,5,82,140,657,0.55,12.08
Anton Ponkrashov,107,1265,130,349,34,132,0.26,96,217,0.44,0.42,53,88,0.61,34,114,148,141,43,6,96,121,347,0.45,19.85
Anton Pushkov,17,111,14,35,1,3,0.33,13,32,0.41,0.41,3,4,0.75,8,9,17,5,4,4,14,23,32,0.44,27.58
Anton Yudin,16,142,14,32,10,22,0.45,4,10,0.4,0.59,1,1,1.0,2,9,11,10,5,0,6,22,39,0.6,15.61
Antonio Granger,94,2694,408,871,204,465,0.44,204,406,0.5,0.59,125,174,0.59,88,242,330,76,74,21,111,192,1145,0.6,10.49
Antonio Graves,4,80,7,26,2,8,0.25,5,18,0.28,0.31,2,2,1.0,1,5,6,4,2,1,8,9,18,0.33,22.94
Antonio Porta,9,127,6,20,2,10,0.2,4,10,0.4,0.35,11,14,0.79,1,6,7,9,5,0,9,19,25,0.48,25.6
Antonios Koniaris,24,321,28,74,20,48,0.42,8,26,0.31,0.51,5,6,0.83,8,25,33,34,16,1,24,60,81,0.53,23.85
Antonis Fotsis,250,5649,660,1362,304,745,0.41,356,617,0.58,0.6,293,377,0.78,337,787,1124,176,148,97,212,427,1917,0.63,12.18
Antywane Robinson,10,255,45,113,8,27,0.3,37,86,0.43,0.43,9,12,0.75,27,31,58,3,5,7,12,20,107,0.45,9.21
Arda Vekiloglu,27,307,29,91,6,32,0.19,23,59,0.39,0.35,14,21,0.82,20,22,42,5,12,2,12,39,78,0.39,10.69
Ariel Eslava,5,19,1,9,0,1,0.0,1,8,0.12,0.11,1,2,0.5,0,1,1,0,0,0,0,5,3,0.15,0.0
Arijan Komazec,8,172,28,52,7,18,0.39,21,34,0.62,0.61,13,14,0.93,6,11,17,7,5,0,10,27,76,0.65,14.67
Arnaldo De Sousa,3,30,1,7,1,5,0.2,0,2,0.0,0.21,2,2,1.0,0,1,1,8,1,0,5,2,5,0.32,38.82
Arnas Butkevicius,10,205,24,43,8,17,0.47,16,26,0.62,0.65,14,27,0.52,7,21,28,11,9,5,14,22,70,0.64,20.33
Arriel McDonald,67,1872,236,493,61,172,0.35,175,321,0.55,0.54,162,208,0.83,31,123,154,200,110,8,96,178,695,0.59,14.11
Arthur Lee,12,377,54,106,7,21,0.33,47,85,0.55,0.54,40,44,0.91,4,19,23,20,24,0,28,30,155,0.62,18.26
Artsiom Parakhouski,23,579,118,192,0,2,0.0,118,190,0.62,0.61,62,90,0.69,47,106,153,18,15,45,31,44,298,0.64,11.81
Artur Drozdov,67,1438,187,386,56,142,0.39,131,244,0.54,0.56,44,84,0.45,57,134,191,73,52,24,83,98,474,0.56,16.4
Arturas Gudaitis,46,700,95,184,3,10,0.3,92,174,0.53,0.52,107,156,0.67,71,110,181,18,14,40,39,95,300,0.59,13.37
Arturas Jomantas,42,983,86,181,14,45,0.31,72,136,0.53,0.51,63,87,0.73,40,115,155,74,43,6,70,117,249,0.57,24.2
Arturas Karnisovas,30,748,112,257,42,119,0.35,70,138,0.51,0.52,79,97,0.81,36,88,124,40,35,5,44,66,345,0.58,12.8
Arturas Masiulis,6,67,6,17,0,1,0.0,6,16,0.38,0.35,3,4,0.75,1,10,11,0,1,5,6,13,15,0.4,24.23
Arturas Milaknis,207,4300,489,1105,365,864,0.42,124,241,0.51,0.61,120,150,0.72,66,258,324,166,97,11,147,391,1463,0.62,11.15
Arvydas Macijauskas,56,1597,292,584,103,264,0.39,189,320,0.59,0.59,288,319,0.92,23,106,129,125,87,8,122,118,975,0.67,14.41
Arvydas Sabonis,18,509,107,191,15,41,0.37,92,150,0.61,0.6,71,102,0.7,43,150,193,43,18,29,36,46,300,0.64,13.24
Arvydas Siksnius,6,23,1,3,0,2,0.0,1,1,1.0,0.33,2,2,1.0,0,2,2,2,2,0,0,6,4,0.52,0.0
Asier Garcia,23,244,30,83,13,30,0.43,17,53,0.32,0.44,11,16,0.75,14,27,41,7,8,6,14,29,84,0.47,13.46
Asim Pars,18,306,51,110,0,1,0.0,51,109,0.47,0.46,34,57,0.6,27,25,52,17,10,5,28,54,136,0.5,17.17
Assaf Dotan,10,13,2,4,0,1,0.0,2,3,0.67,0.5,2,2,1.0,0,0,0,0,0,0,0,1,6,0.61,0.0
Augustine Rubit,56,1048,162,295,15,35,0.43,147,260,0.57,0.57,122,152,0.81,94,125,219,43,33,19,59,135,461,0.64,14.02
Augusto Lima,30,333,42,87,4,17,0.24,38,70,0.54,0.51,19,37,0.52,20,58,78,3,8,7,23,51,107,0.52,18.21
Austin Daye,25,463,74,167,33,73,0.45,41,94,0.44,0.54,36,41,0.88,9,65,74,26,12,7,27,59,217,0.59,12.73
Austin Hollins,27,616,98,229,51,147,0.35,47,82,0.57,0.54,33,36,0.92,27,31,58,40,37,9,32,66,280,0.57,11.56
Austin Nichols,10,233,34,89,11,40,0.28,23,49,0.47,0.44,32,37,0.86,3,19,22,5,4,0,17,23,111,0.53,13.9
Awudu Abass,33,417,37,96,17,46,0.37,20,50,0.4,0.47,23,28,0.75,22,33,55,14,14,6,17,50,114,0.53,13.57
Axel Hervelle,99,2056,269,556,83,207,0.4,186,349,0.53,0.56,115,169,0.69,191,272,463,83,79,35,115,269,736,0.58,15.43
Axel Toupane,70,1024,128,287,42,120,0.35,86,167,0.51,0.52,88,121,0.68,34,94,128,37,29,8,55,115,386,0.57,13.92
Aymeric Jeanneau,24,513,34,80,6,31,0.19,28,49,0.57,0.46,18,26,0.72,6,35,41,64,13,1,47,63,92,0.5,33.95
Balsa Radunovic,11,153,15,40,3,15,0.2,12,25,0.48,0.41,9,12,0.75,6,17,23,12,9,2,12,28,42,0.46,20.95
Barak Peleg,10,191,20,64,3,23,0.13,17,41,0.41,0.34,3,6,0.5,12,14,26,9,10,2,23,31,46,0.35,25.66
